date,obs,sim
1951-01-01,21.6,
1951-01-02,22.3,
1951-01-03,22.3,
1951-01-04,21.6,
1951-01-05,22.3,
1951-01-06,22.3,
1951-01-07,22.3,
1951-01-08,22.9,
1951-01-09,22.9,
1951-01-10,22.3,
1951-01-11,22.3,
1951-01-12,20.3,
1951-01-13,18.9,
1951-01-14,19.6,
1951-01-15,20.3,
1951-01-16,25.6,
1951-01-17,31.5,
1951-01-18,37.2,
1951-01-19,52.2,
1951-01-20,75.3,
1951-01-21,106.0,
1951-01-22,149.0,
1951-01-23,190.0,
1951-01-24,153.0,
1951-01-25,125.0,
1951-01-26,106.0,
1951-01-27,94.7,
1951-01-28,85.6,
1951-01-29,77.0,
1951-01-30,71.0,
1951-01-31,66.1,
1951-02-01,62.0,
1951-02-02,56.1,
1951-02-03,54.5,
1951-02-04,53.0,
1951-02-05,53.0,
1951-02-06,52.2,
1951-02-07,49.7,
1951-02-08,46.6,
1951-02-09,45.0,
1951-02-10,42.6,
1951-02-11,39.5,
1951-02-12,40.3,
1951-02-13,42.6,
1951-02-14,42.6,
1951-02-15,41.9,
1951-02-16,41.1,
1951-02-17,39.5,
1951-02-18,38.7,
1951-02-19,41.1,
1951-02-20,45.8,
1951-02-21,49.0,
1951-02-22,60.4,
1951-02-23,65.3,
1951-02-24,60.4,
1951-02-25,55.3,
1951-02-26,53.8,
1951-02-27,51.4,
1951-02-28,49.7,
1951-03-01,46.6,
1951-03-02,44.2,
1951-03-03,42.6,
1951-03-04,40.3,
1951-03-05,40.3,
1951-03-06,39.5,
1951-03-07,38.0,
1951-03-08,37.2,
1951-03-09,37.2,
1951-03-10,38.7,
1951-03-11,38.7,
1951-03-12,38.0,
1951-03-13,38.0,
1951-03-14,37.2,
1951-03-15,36.4,
1951-03-16,44.2,
1951-03-17,51.4,
1951-03-18,53.8,
1951-03-19,66.9,
1951-03-20,83.9,
1951-03-21,95.6,
1951-03-22,89.0,
1951-03-23,76.2,
1951-03-24,68.6,
1951-03-25,66.1,
1951-03-26,69.5,
1951-03-27,66.9,
1951-03-28,68.6,
1951-03-29,86.4,
1951-03-30,87.3,
1951-03-31,77.0,
1951-04-01,70.3,
1951-04-02,67.7,
1951-04-03,62.8,
1951-04-04,57.9,
1951-04-05,54.5,
1951-04-06,50.5,
1951-04-07,49.7,
1951-04-08,49.0,
1951-04-09,50.5,
1951-04-10,51.4,
1951-04-11,50.5,
1951-04-12,50.5,
1951-04-13,47.4,
1951-04-14,45.0,
1951-04-15,42.6,
1951-04-16,41.9,
1951-04-17,38.0,
1951-04-18,36.4,
1951-04-19,35.0,
1951-04-20,35.0,
1951-04-21,35.0,
1951-04-22,32.9,
1951-04-23,33.6,
1951-04-24,32.2,
1951-04-25,30.7,
1951-04-26,29.3,
1951-04-27,28.6,
1951-04-28,26.4,
1951-04-29,27.1,
1951-04-30,28.6,
1951-05-01,24.9,
1951-05-02,27.1,
1951-05-03,24.3,
1951-05-04,25.6,
1951-05-05,24.9,
1951-05-06,22.9,
1951-05-07,24.3,
1951-05-08,22.9,
1951-05-09,22.9,
1951-05-10,24.3,
1951-05-11,27.8,
1951-05-12,28.6,
1951-05-13,27.1,
1951-05-14,26.4,
1951-05-15,26.4,
1951-05-16,25.6,
1951-05-17,25.6,
1951-05-18,24.9,
1951-05-19,23.6,
1951-05-20,21.6,
1951-05-21,22.9,
1951-05-22,21.6,
1951-05-23,21.6,
1951-05-24,20.3,
1951-05-25,22.3,
1951-05-26,19.6,
1951-05-27,18.3,
1951-05-28,22.3,
1951-05-29,21.6,
1951-05-30,19.6,
1951-05-31,18.9,
1951-06-01,21.4,
1951-06-02,24.5,
1951-06-03,24.1,
1951-06-04,25.2,
1951-06-05,25.6,
1951-06-06,28.9,
1951-06-07,30.7,
1951-06-08,28.2,
1951-06-09,29.3,
1951-06-10,28.3,
1951-06-11,26.5,
1951-06-12,24.7,
1951-06-13,23.6,
1951-06-14,21.2,
1951-06-15,20.4,
1951-06-16,19.8,
1951-06-17,19.1,
1951-06-18,21.1,
1951-06-19,19.1,
1951-06-20,19.8,
1951-06-21,18.5,
1951-06-22,17.9,
1951-06-23,17.9,
1951-06-24,19.8,
1951-06-25,28.2,
1951-06-26,27.5,
1951-06-27,24.5,
1951-06-28,26.7,
1951-06-29,32.7,
1951-06-30,32.7,
1951-07-01,26.7,
1951-07-02,21.8,
1951-07-03,23.1,
1951-07-04,22.4,
1951-07-05,20.4,
1951-07-06,19.8,
1951-07-07,19.8,
1951-07-08,17.3,
1951-07-09,17.9,
1951-07-10,18.5,
1951-07-11,17.3,
1951-07-12,16.0,
1951-07-13,17.3,
1951-07-14,16.6,
1951-07-15,20.4,
1951-07-16,23.1,
1951-07-17,27.5,
1951-07-18,26.0,
1951-07-19,23.1,
1951-07-20,21.1,
1951-07-21,19.8,
1951-07-22,16.6,
1951-07-23,17.9,
1951-07-24,17.9,
1951-07-25,19.1,
1951-07-26,18.5,
1951-07-27,18.5,
1951-07-28,17.3,
1951-07-29,16.6,
1951-07-30,15.3,
1951-07-31,14.8,
1951-08-01,14.2,
1951-08-02,13.6,
1951-08-03,14.8,
1951-08-04,14.2,
1951-08-05,14.2,
1951-08-06,14.2,
1951-08-07,14.2,
1951-08-08,14.2,
1951-08-09,17.3,
1951-08-10,18.5,
1951-08-11,18.5,
1951-08-12,16.6,
1951-08-13,18.5,
1951-08-14,19.1,
1951-08-15,18.5,
1951-08-16,18.5,
1951-08-17,17.9,
1951-08-18,17.9,
1951-08-19,17.9,
1951-08-20,17.9,
1951-08-21,17.3,
